Gaze direction,Timestamp start,Timestamp finish,Violation label,Numerical behavioural score,Video Evidence File
Center,2026-04-30 21:20:10.380,2026-04-30 21:20:34.257,normal,0,
Left,2026-04-30 21:20:34.257,2026-04-30 21:20:34.296,normal,0,
Center,2026-04-30 21:20:34.296,2026-04-30 21:20:34.334,normal,0,
Left,2026-04-30 21:20:34.334,2026-04-30 21:20:34.376,normal,0,
Up,2026-04-30 21:20:34.376,2026-04-30 21:20:34.411,normal,0,
Left,2026-04-30 21:20:34.411,2026-04-30 21:20:34.546,normal,0,
Up,2026-04-30 21:20:34.546,2026-04-30 21:20:36.578,normal,0,
Down,2026-04-30 21:20:36.578,2026-04-30 21:20:36.709,normal,0,
Center,2026-04-30 21:20:36.709,2026-04-30 21:20:36.877,normal,0,
Up,2026-04-30 21:20:36.877,2026-04-30 21:20:38.195,normal,0,
Center,2026-04-30 21:20:38.195,2026-04-30 21:20:38.275,normal,0,
Left,2026-04-30 21:20:38.275,2026-04-30 21:20:38.359,normal,0,
Down,2026-04-30 21:20:38.359,2026-04-30 21:20:38.578,normal,0,
Center,2026-04-30 21:20:38.578,2026-04-30 21:20:38.619,normal,0,
Up,2026-04-30 21:20:38.619,2026-04-30 21:20:38.994,normal,0,
Down,2026-04-30 21:20:38.994,2026-04-30 21:20:39.165,normal,0,
Center,2026-04-30 21:20:39.165,2026-04-30 21:20:39.453,normal,0,
Left,2026-04-30 21:20:39.453,2026-04-30 21:20:39.604,normal,0,
Up,2026-04-30 21:20:39.604,2026-04-30 21:20:39.855,normal,0,
Down,2026-04-30 21:20:39.855,2026-04-30 21:20:39.988,normal,0,
Center,2026-04-30 21:20:39.988,2026-04-30 21:20:40.069,normal,0,
Up,2026-04-30 21:20:40.069,2026-04-30 21:20:42.210,frantic eye movement,100,20260430_212040_violation_frantic eye movement.mp4
Center,2026-04-30 21:20:42.210,2026-04-30 21:20:42.275,normal,0,
Left,2026-04-30 21:20:42.275,2026-04-30 21:20:42.483,normal,0,
Center,2026-04-30 21:20:42.483,2026-04-30 21:20:42.568,normal,0,
Left,2026-04-30 21:20:42.568,2026-04-30 21:20:42.610,normal,0,
Center,2026-04-30 21:20:42.610,2026-04-30 21:20:42.693,normal,0,
Left,2026-04-30 21:20:42.693,2026-04-30 21:20:42.946,normal,0,
Center,2026-04-30 21:20:42.946,2026-04-30 21:20:42.990,normal,0,
Up,2026-04-30 21:20:42.990,2026-04-30 21:20:43.203,normal,0,
Left,2026-04-30 21:20:43.203,2026-04-30 21:20:43.246,normal,0,
Up,2026-04-30 21:20:43.246,2026-04-30 21:20:43.289,normal,0,
Center,2026-04-30 21:20:43.289,2026-04-30 21:20:43.333,normal,0,
Left,2026-04-30 21:20:43.333,2026-04-30 21:20:43.461,normal,0,
Up,2026-04-30 21:20:43.461,2026-04-30 21:20:43.855,normal,0,
Down,2026-04-30 21:20:43.855,2026-04-30 21:20:44.087,normal,0,
Left,2026-04-30 21:20:44.087,2026-04-30 21:20:44.271,normal,0,
Up,2026-04-30 21:20:44.271,2026-04-30 21:20:44.698,normal,0,
Down,2026-04-30 21:20:44.698,2026-04-30 21:20:45.185,normal,0,
Center,2026-04-30 21:20:45.185,2026-04-30 21:20:45.668,normal,0,
Up,2026-04-30 21:20:45.668,2026-04-30 21:20:52.018,Up_duration,100,20260430_212048_violation_Up_duration.mp4
Left,2026-04-30 21:20:52.018,2026-04-30 21:20:52.137,normal,0,
Up,2026-04-30 21:20:52.137,2026-04-30 21:20:52.900,normal,0,
Left,2026-04-30 21:20:52.900,2026-04-30 21:20:52.999,normal,0,
Center,2026-04-30 21:20:52.999,2026-04-30 21:20:53.038,normal,0,
Up,2026-04-30 21:20:53.038,2026-04-30 21:20:53.483,normal,0,
Left,2026-04-30 21:20:53.483,2026-04-30 21:20:53.537,normal,0,
Center,2026-04-30 21:20:53.537,2026-04-30 21:20:54.213,normal,0,
Down,2026-04-30 21:20:54.213,2026-04-30 21:20:54.382,normal,0,
Center,2026-04-30 21:20:54.382,2026-04-30 21:20:54.954,normal,0,
Down,2026-04-30 21:20:54.954,2026-04-30 21:20:55.087,normal,0,
Left,2026-04-30 21:20:55.087,2026-04-30 21:20:55.236,normal,0,
Up,2026-04-30 21:20:55.236,2026-04-30 21:20:55.349,normal,0,
Center,2026-04-30 21:20:55.349,2026-04-30 21:20:55.387,normal,0,
Up,2026-04-30 21:20:55.387,2026-04-30 21:20:55.626,normal,0,
Down,2026-04-30 21:20:55.626,2026-04-30 21:20:55.894,normal,0,
Center,2026-04-30 21:20:55.894,2026-04-30 21:20:56.044,normal,0,
Up,2026-04-30 21:20:56.044,2026-04-30 21:20:56.957,normal,0,
Center,2026-04-30 21:20:56.957,2026-04-30 21:20:57.508,normal,0,
Down,2026-04-30 21:20:57.508,2026-04-30 21:20:57.991,normal,0,
