Gaze direction,Timestamp start,Timestamp finish,Violation label,Numerical behavioural score,Video Evidence File
Center,2026-05-04 11:32:17.359,2026-05-04 11:32:33.385,eyes_off_screen,100,20260504_113233_violation_eyes_off_screen.mp4
Center,2026-05-04 11:32:33.385,2026-05-04 11:32:33.409,normal,0,
Up,2026-05-04 11:32:33.409,2026-05-04 11:32:34.059,normal,0,
Left,2026-05-04 11:32:34.059,2026-05-04 11:32:34.480,normal,0,
Right,2026-05-04 11:32:34.480,2026-05-04 11:32:34.503,normal,0,
Down,2026-05-04 11:32:34.503,2026-05-04 11:32:35.064,normal,0,
Right,2026-05-04 11:32:35.064,2026-05-04 11:32:36.388,normal,0,
Up,2026-05-04 11:32:36.388,2026-05-04 11:32:36.989,normal,0,
Right,2026-05-04 11:32:36.989,2026-05-04 11:32:37.012,normal,0,
Down,2026-05-04 11:32:37.012,2026-05-04 11:32:37.725,normal,0,
Right,2026-05-04 11:32:37.725,2026-05-04 11:32:38.765,normal,0,
Down,2026-05-04 11:32:38.765,2026-05-04 11:32:40.044,normal,0,
Left,2026-05-04 11:32:40.044,2026-05-04 11:32:40.136,normal,0,
Up,2026-05-04 11:32:40.136,2026-05-04 11:32:41.598,normal,0,
Right,2026-05-04 11:32:41.598,2026-05-04 11:32:41.621,normal,0,
Down,2026-05-04 11:32:41.621,2026-05-04 11:32:42.170,normal,0,
Left,2026-05-04 11:32:42.170,2026-05-04 11:32:42.720,normal,0,
Up,2026-05-04 11:32:42.720,2026-05-04 11:32:43.779,normal,0,
Left,2026-05-04 11:32:43.779,2026-05-04 11:32:44.770,normal,0,
Down,2026-05-04 11:32:44.770,2026-05-04 11:32:45.230,normal,0,
Left,2026-05-04 11:32:45.230,2026-05-04 11:32:45.369,normal,0,
Up,2026-05-04 11:32:45.369,2026-05-04 11:32:46.090,normal,0,
Down,2026-05-04 11:32:46.090,2026-05-04 11:32:46.556,normal,0,
Left,2026-05-04 11:32:46.556,2026-05-04 11:32:46.744,normal,0,
Up,2026-05-04 11:32:46.744,2026-05-04 11:32:47.524,normal,0,
Left,2026-05-04 11:32:47.524,2026-05-04 11:32:48.308,normal,0,
Up,2026-05-04 11:32:48.308,2026-05-04 11:32:49.016,normal,0,
Left,2026-05-04 11:32:49.016,2026-05-04 11:32:49.040,normal,0,
Down,2026-05-04 11:32:49.040,2026-05-04 11:32:49.827,normal,0,
Left,2026-05-04 11:32:49.827,2026-05-04 11:32:52.590,normal,0,
Up,2026-05-04 11:32:52.590,2026-05-04 11:32:55.604,normal,0,
Left,2026-05-04 11:32:55.604,2026-05-04 11:32:55.855,normal,0,
Up,2026-05-04 11:32:55.855,2026-05-04 11:32:57.546,normal,0,
Down,2026-05-04 11:32:57.546,2026-05-04 11:32:57.845,normal,0,
Left,2026-05-04 11:32:57.845,2026-05-04 11:32:58.098,normal,0,
Up,2026-05-04 11:32:58.098,2026-05-04 11:32:58.857,normal,0,
Left,2026-05-04 11:32:58.857,2026-05-04 11:32:58.880,normal,0,
Down,2026-05-04 11:32:58.880,2026-05-04 11:32:59.707,normal,0,
Left,2026-05-04 11:32:59.707,2026-05-04 11:32:59.822,normal,0,
Up,2026-05-04 11:32:59.822,2026-05-04 11:33:00.352,normal,0,
Left,2026-05-04 11:33:00.352,2026-05-04 11:33:00.375,normal,0,
Down,2026-05-04 11:33:00.375,2026-05-04 11:33:01.039,normal,0,
Left,2026-05-04 11:33:01.039,2026-05-04 11:33:01.727,normal,0,
Up,2026-05-04 11:33:01.727,2026-05-04 11:33:02.006,normal,0,
Left,2026-05-04 11:33:02.006,2026-05-04 11:33:02.173,normal,0,
Down,2026-05-04 11:33:02.173,2026-05-04 11:33:02.265,normal,0,
Left,2026-05-04 11:33:02.265,2026-05-04 11:33:03.346,normal,0,
Up,2026-05-04 11:33:03.346,2026-05-04 11:33:04.148,normal,0,
Left,2026-05-04 11:33:04.148,2026-05-04 11:33:04.172,normal,0,
Down,2026-05-04 11:33:04.172,2026-05-04 11:33:05.166,normal,0,
Right,2026-05-04 11:33:05.166,2026-05-04 11:33:05.326,normal,0,
Up,2026-05-04 11:33:05.326,2026-05-04 11:33:05.828,normal,0,
Right,2026-05-04 11:33:05.828,2026-05-04 11:33:05.919,normal,0,
Down,2026-05-04 11:33:05.919,2026-05-04 11:33:06.825,normal,0,
Right,2026-05-04 11:33:06.825,2026-05-04 11:33:09.367,normal,0,
Up,2026-05-04 11:33:09.367,2026-05-04 11:33:10.347,normal,0,
Down,2026-05-04 11:33:10.347,2026-05-04 11:33:13.913,normal,0,
Left,2026-05-04 11:33:13.913,2026-05-04 11:33:14.098,normal,0,
Down,2026-05-04 11:33:14.098,2026-05-04 11:33:15.129,normal,0,
Right,2026-05-04 11:33:15.129,2026-05-04 11:33:15.197,normal,0,
Down,2026-05-04 11:33:15.197,2026-05-04 11:33:15.924,normal,0,
Right,2026-05-04 11:33:15.924,2026-05-04 11:33:16.243,normal,0,
Up,2026-05-04 11:33:16.243,2026-05-04 11:33:19.250,Up_duration,100,20260504_113319_violation_Up_duration.mp4
Up,2026-05-04 11:33:19.250,2026-05-04 11:33:20.637,normal,0,
Left,2026-05-04 11:33:20.637,2026-05-04 11:33:20.661,normal,0,
Down,2026-05-04 11:33:20.661,2026-05-04 11:33:20.962,normal,0,
Left,2026-05-04 11:33:20.962,2026-05-04 11:33:21.830,normal,0,
