centroid_x_norm,centroid_y_norm,spread_x,spread_y,elongation_ratio,entropy,peak_ratio,coverage_ratio,grid_cell_0,grid_cell_1,grid_cell_2,grid_cell_3,grid_cell_4,grid_cell_5,grid_cell_6,grid_cell_7,grid_cell_8,grid_cell_9,grid_cell_10,grid_cell_11,grid_cell_12,grid_cell_13,grid_cell_14,grid_cell_15,grid_cell_16,grid_cell_17,grid_cell_18,grid_cell_19,grid_cell_20,grid_cell_21,grid_cell_22,grid_cell_23,grid_cell_24,grid_cell_25,grid_cell_26,grid_cell_27,grid_cell_28,grid_cell_29,grid_cell_30,grid_cell_31,grid_cell_32,grid_cell_33,grid_cell_34,grid_cell_35,grid_cell_36,grid_cell_37,grid_cell_38,grid_cell_39,grid_cell_40,grid_cell_41,grid_cell_42,grid_cell_43,grid_cell_44,grid_cell_45,grid_cell_46,grid_cell_47,grid_cell_48,grid_cell_49,grid_cell_50,grid_cell_51,grid_cell_52,grid_cell_53,grid_cell_54,grid_cell_55,grid_cell_56,grid_cell_57,grid_cell_58,grid_cell_59,grid_cell_60,grid_cell_61,grid_cell_62,grid_cell_63,violation_count_frantic_eye_movement,violation_count_forbidden_key,violation_count_off_screen,violation_count_duration,num_transitions,pct_non_center_time,violation_rate,session_id,label
0.4802976623409062,0.42639228109122235,0.16341101176019643,0.18106228393169044,2.5768551171254264,4.7764338824712596,0.2648031224550231,0.3625163966049383,0.00029237334438809737,0.005964272532743611,0.01141254984222188,0.002255838379010664,0.0017216881264685419,0.00048539142581627753,0.0004925484312693769,0.0,0.0021811181367512797,0.009305129518379543,0.03062645669412751,0.020273627240413858,0.019853768009315823,0.013320085228052659,0.012458467434499134,0.001801271816448951,0.0012829139523873165,0.033424486594355395,0.0628005398261171,0.0589715833585475,0.053380649521456776,0.06857879930014435,0.030046283304202618,0.003214960009403034,0.00020461021960414602,0.020184289021765712,0.07544565588352341,0.07201015509990731,0.06572883275223654,0.04117568929941607,0.007763941622102679,3.973657853882936e-05,0.0,0.0015921021146063441,0.024322571817682773,0.04013952623580656,0.04495239133721034,0.01762212251939469,0.0009327042666349843,0.0,0.0,1.6718101541023479e-06,0.009175267174260468,0.025527905488952035,0.03132554967079917,0.00406526199703747,2.2313829742771007e-05,0.0,0.0,0.0,0.002105264932238702,0.03217301925280062,0.01612429115422174,0.00022358042903871235,0.0,0.0,0.0,0.0,0.0005101922458709364,0.01499667593019897,0.007445289080085633,4.458620964701055e-05,0.0,0.0,12,7,0,0,359,0.4859211484448143,0.052924791086350974,session_01705ccfc6e84812a9f13609d0f678cb,1
0.5176623334421067,0.5927540700180711,0.1883689098113131,0.24689851613900332,1.9726555679705156,5.263871873601971,0.18068839563312292,0.5321373456790124,1.8849868361837082e-05,0.0006872599626671243,0.0010630877413808977,0.000558605225140625,0.0007127959787519293,9.561386175264828e-05,0.003911796027348332,6.481469731448635e-05,0.00043473605398727057,0.004228296428234545,0.008366807444189234,0.007860775223156029,0.0061269187172818575,0.008546417255033046,0.006817239103250748,0.0002312179044197834,0.0004504670196211925,0.023572257461599532,0.04587618388917931,0.04403598254685425,0.03582282004829894,0.03485965415306362,0.026693937962256716,0.00017469753904734636,0.00028739713980635475,0.019164497421086547,0.03483085303568553,0.033836771017159754,0.025791746615352138,0.025834368370443304,0.015394055913309944,0.00024955120451730954,0.00024273835137101992,0.014032752338285234,0.02792227881536199,0.03342030978384386,0.02579924172847016,0.024434507360444745,0.011798185239157363,0.0005419385886883285,0.00022770913885087889,0.00838662222308252,0.024301798049371957,0.02703964883650406,0.026752807251246114,0.02518391145996558,0.015661443342802516,0.00020800157223886516,0.00021892747835759285,0.0053401365178811664,0.017846010532573498,0.021435643401270247,0.027415457122075784,0.03133507964595698,0.02016654238813953,0.00036842038473497505,0.003564272290890389,0.005188275194744773,0.01908755798941729,0.031983938118786644,0.05242251705079755,0.056915169724935974,0.02307477298335502,0.0010829122668452082,32,3,8,2,1281,0.7572540996470319,0.0351288056206089,session_09d4368e78d348fe9b0622e69d6cdd5d,1
0.5220932474368032,0.5693937399871216,0.16075483387563275,0.25236619818494077,1.7274807622562889,5.096676192836757,0.19797223011044401,0.493056037808642,0.0003868358496628844,0.0011708802072876508,0.001846286579475387,0.001104254749803793,0.0023188156843577524,0.0017364184135392846,0.0005983150609125272,0.0002889339849450324,0.001745430417649914,0.011469280337977554,0.02857469786930035,0.01873542533169231,0.015760038084151558,0.02025882680835811,0.009994498949672822,0.003135189558280113,0.00044367578044957447,0.008912117181924507,0.05203212444893622,0.036363156999912966,0.024097204315096682,0.026342162571763906,0.014611534114578098,0.0028779327211861973,0.0001961765114051199,0.0054633527505209695,0.04385693198370231,0.03887620140988564,0.026568963121956543,0.021313566793074237,0.008010944729509263,0.0003031649366274846,1.688702321454049e-05,0.0017230541799357244,0.02956335293038827,0.03555563669776423,0.03295108363384919,0.02924317049685695,0.009426873164392459,0.00038271660890083867,0.0,0.0001852353606027631,0.014552131307751674,0.035692643391073815,0.03628939276771479,0.032865520852319,0.01311560666905825,8.231957839626718e-05,0.0,2.6010861915994757e-05,0.004877479287837699,0.038757088251108025,0.042476082332141146,0.04350861383102932,0.011641962265760235,2.4678166375332897e-05,0.0,2.090374893499686e-05,0.001422638510332682,0.04215385891732728,0.06659732176471592,0.042965116358719406,0.00448328099427885,6.001789707596067e-06,29,0,4,24,979,0.7212834518235945,0.05822267620020429,session_0cd911a71c2a481bae94fd688d8fc5eb,1
0.48389338955864736,0.4752474739993232,0.1500559160885974,0.2522150228212147,1.3662230905369424,5.0383025196633096,0.23080893116719745,0.43157648533950616,0.0,0.0003543002920524925,0.006108899242218402,0.0055546705745327446,0.0029673158341723873,0.005110675668346351,4.9246676867076125e-06,1.2856665774098007e-05,0.0010681932523647925,0.012059460568973779,0.06756416874826898,0.0723773550909967,0.0431396030350136,0.017875296120268003,0.002852091742750594,0.0010256572559988035,0.005324156729453335,0.005718904958772652,0.048604106227314516,0.060145898861508756,0.043041687508954686,0.027870204670502306,0.008614832810158526,0.0006010195769329616,0.001715557235341464,0.001965520234671578,0.03098803148162764,0.042185596410744604,0.03521380346268487,0.03135773613420415,0.007640392098101481,0.0006580012651799599,0.0015058977163593652,0.0012917337679998245,0.024580237741943997,0.02822411098913986,0.02142497032395252,0.033144602557649144,0.004310975298260857,0.0,0.00013041833279118213,0.0006182624800600206,0.01918481122172863,0.025492850892750326,0.026817678427604824,0.02912445843429449,0.002076922783968486,0.0,0.0,0.00016994699875648857,0.01620361439090331,0.030932783276406365,0.026276713531555366,0.020011131062216674,0.0023637616949366666,0.0,0.0,6.881402314226104e-06,0.015576618833478863,0.04388434411371544,0.023771239599266,0.011326000262386294,0.0018281154399888532,0.0,10,10,0,3,458,0.6816498295783134,0.05021834061135371,session_100db0f6cdf54ef4baa19c7e9282a119,1
0.5434865478993227,0.4642522239066028,0.17436221867345297,0.2108411624645344,2.2429770433149177,5.005096856888692,0.24584142482573637,0.4240354938271605,0.0,3.162529601277068e-07,0.00039707621663338767,0.0002875289412708903,6.1614326710098e-05,0.00010976727742171667,0.00015779647697502448,0.0,0.0024545217243233395,0.0030096419202483736,0.029254045067861834,0.031267366412549624,0.02074964546668157,0.015689584354509557,0.02455161105307946,0.001169324694879144,0.00329689585894524,0.010294487606403996,0.06803149802482152,0.07927588577229083,0.05814134670300514,0.03992087240936575,0.04513580122109943,0.002402463737060579,0.000174695385148805,0.006324770449851411,0.03376133725611672,0.042706332231269684,0.03842458340410066,0.03945031550495313,0.033134523889143605,0.0012579167741010055,1.868642490493711e-05,0.0013468663566690985,0.018870511627988838,0.030248220623345035,0.03614886835340779,0.03274514774458289,0.02721685349974876,0.00020084812993849621,0.0,0.00025991868283887137,0.013239847674974237,0.021253340181264097,0.024648054455789707,0.020909394461932164,0.01708329739966366,0.0005202498695387788,0.0,0.0,0.005424247020952116,0.017308304505730173,0.01653573977452429,0.01719277592438265,0.006385092264463595,0.00038541610749476615,2.9604027093693598e-05,2.6400247106312913e-06,0.0007833860824937322,0.013713333356800219,0.03427825959450981,0.011521136587838461,0.0008363928286368761,0.0,16,0,0,4,484,0.708726548566989,0.04132231404958678,session_248e91193f904874ab3382373192600f,1
0.5312341533691549,0.6134059705945142,0.17832735836677713,0.21030909733986178,2.4124094947738146,5.014833689397131,0.23388184905298331,0.44546248070987654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.091799071083012e-05,0.0013652461389822013,0.0028761469532136096,0.003465859300471591,0.0021642038611713607,0.006190438296576939,0.00020239238548986978,2.1017362266486678e-05,0.0014739198829151856,0.023454344903028366,0.02890200165507717,0.02153875099660573,0.014625734868519095,0.03318846633167543,0.010930644217220604,0.0019610207461305705,0.0009355247375270664,0.025847493618812525,0.032397794079998085,0.01962262993714915,0.030949166082863782,0.054048908891774425,0.025773440077391567,0.002775036709332905,0.00010229060828280267,0.02287139386642318,0.032741394719494304,0.027542737557045407,0.031333506484005236,0.05014025250263611,0.019778632855651703,0.003089059479685287,9.8554697650919e-07,0.01126107749071672,0.025402324341493036,0.031604852778305055,0.04932586982427972,0.044573092449761285,0.009847745827159722,0.002131302635943943,0.0,0.0014663334631657777,0.012815468430248738,0.024854658178616592,0.05149363769835451,0.04867164998945465,0.004784223198978222,0.00031786181962134184,0.0,3.1594802491114375e-05,0.0036003979226136595,0.02843196450637367,0.06327713530556105,0.0516060702726165,0.0020766620779905038,3.472334114910285e-05,8,8,0,4,343,0.6564971147681126,0.05830903790087463,session_491449cba73f401dac98e6cf2d260687,1
0.6144891791629884,0.5210423792597548,0.1804095220621422,0.2182081103112418,2.2381539593150617,5.009084326399232,0.23212512020149711,0.43473958333333335,0.0,2.6087090331140277e-06,4.793640438485904e-05,0.0001291145863224791,5.135964704012681e-05,0.0001395494224549352,0.0003895231867672541,2.3357301975814207e-05,4.328035408525045e-05,0.001774406459806387,0.012506998660004133,0.013642524572553119,0.007223724449703837,0.007124439405489961,0.019995347472007947,0.01000694180775875,0.0004592098403058402,0.007183405035407226,0.049862853451730416,0.0639277687434258,0.027442166076493028,0.027109109882721028,0.06605592495389134,0.024571573476645462,7.771091043791154e-06,0.0013659508699296135,0.01773094400242053,0.05006900750861309,0.039888900255668894,0.02028529942707246,0.03612070261141901,0.006535465553406141,1.5531174876472123e-05,0.003797961143091829,0.004845847640781515,0.025694099872873317,0.044576882474708125,0.02852781831550176,0.04544743179420161,0.0036874267291233435,0.0,0.0008795642253927247,0.0026708557470421367,0.016498026285968623,0.030998067640060762,0.04925779806421462,0.053309882690207304,0.0027572183254126544,0.0,0.0,0.002123467138532598,0.012319072544719933,0.018659017007175843,0.03584439959813113,0.024596504809810033,0.0005496010579426857,0.0,0.0,0.001445433941356265,0.011646906191065327,0.030121376296767796,0.033179344651344055,0.00475727261297785,7.602680713805312e-05,10,1,2,4,436,0.7119118855827716,0.0389908256880734,session_4992ab81e99f4a0895d84fc830afd3f7,1
0.4354623412200525,0.3585193902213085,0.16276202406804238,0.258962597976659,1.6984056622041457,4.88379078187869,0.26258408218447077,0.357992862654321,0.0015620781825556056,0.028260004127381406,0.03408898773254485,0.04037475328712736,0.025159717814418836,0.016338961628386457,0.013388293633586922,4.097098503125062e-06,0.008759166107447359,0.09025355784760176,0.07081989146073527,0.06474050982096778,0.05926265943316999,0.0242657487345087,0.009549727983832967,1.512660643001608e-05,0.0015683425867886447,0.02957693924950003,0.027920598112252958,0.03783970327743832,0.035813064596131636,0.004998786754128042,0.0012094456646507656,1.459220227743455e-05,0.0004793456803058383,0.00945050694617033,0.009557491688605195,0.02862825312218946,0.03465716325865758,0.0038574924634912156,0.0009067205567731228,9.738031224818987e-06,0.00029782640314564534,0.005789690055388912,0.006114919515914155,0.02359375035719722,0.04478866438537451,0.003002134083605095,0.00013967246310110038,0.0,0.00012825699661956716,0.004338085086819744,0.00463625291484065,0.01877093101486644,0.05217274922999042,0.001985786452753789,0.0,0.0,3.3400259536345613e-06,0.002892492164967118,0.004362830967996227,0.019253304985370243,0.0498367499225782,0.0016262512145447708,0.0,0.0,0.0,0.0002217925678811288,0.0035344006195762987,0.012187725015692926,0.025443827844314888,0.0015471000217235288,0.0,0.0,4,0,0,11,297,0.7220702139861397,0.050505050505050504,session_4cd44ea62cc4449e879b4a7ce3bade08,1
0.43132371095766336,0.5933892500518939,0.20798645120357398,0.07297263544223222,26.31311093941592,4.055979003148242,0.4559389010147721,0.19185667438271606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.725764934867145e-06,0.0,0.0,0.0,0.0,0.0,0.000585243025683888,0.0029661478421190673,0.006773030746900704,0.00188661128499778,0.00020765440738800312,0.0,0.0,0.0,0.002526995395171686,0.0125606965433822,0.02890993143129887,0.014235550597798524,0.0068111590776252,0.0010681302790284944,0.0008880141927609444,0.00010394534781737325,0.024500921631566048,0.10017298447736585,0.13969116266920656,0.12188050645593192,0.10226553170977531,0.048891754420899394,0.043106472987635036,0.012135957679486163,0.016783876377426225,0.05165581136980378,0.05948850898034962,0.058660318675514155,0.055755068758805766,0.03948249866658246,0.03049250418498706,0.008970554403113335,3.47773337706814e-05,0.00014630538623354602,0.00015981677779732526,0.00020793365713415437,0.00017536884058297895,0.00011505089541431103,7.51396624643876e-05,3.329516204110943e-06,0.0,1.739940726019267e-06,0.0009882648516292398,0.002598912945180482,0.0011150871978813108,0.0007279611267168758,0.0001880424829083045,0.0,23,0,7,12,481,0.37990739690172876,0.08731808731808732,session_4ea379d31391499cbc7a510267860239,1
0.5008570299093593,0.4344496693057129,0.1737022506945499,0.22370087101415825,1.908663158247838,5.157264469628317,0.21815636845123573,0.49290943287037037,0.0062442503006438456,0.0037250140940292917,0.005200244040842828,0.004572934749352763,0.001803923310329784,0.0033560434703674416,0.00316330091863877,0.002315821988002838,0.0030180538100179864,0.015098541348783846,0.038048327411478476,0.036429034981342555,0.04236541321396915,0.027302249996978202,0.018346010898793685,0.010411882570784674,0.0015868457439966903,0.024868146184689348,0.05974245081465879,0.07213992601272111,0.06182270303463656,0.029909801023508226,0.023222460704472973,0.005000584482075194,0.0009946033691787563,0.005293598537875222,0.026924776173081224,0.03939142144153318,0.0413573472810179,0.029855288181386934,0.016742108558339523,0.0006575172365992677,7.739217309632421e-05,0.003839460944891673,0.01637890043401057,0.028312745415710917,0.03524329533202618,0.02777719438885964,0.006752625220014031,2.4826935279181446e-05,1.253895760764158e-05,0.003055781114012796,0.011876360537135615,0.031216472845235852,0.030067125286654225,0.020739235099090293,0.0014753303387879772,0.0,8.031357955254815e-07,0.0007420472790783246,0.010152319120868282,0.03277613244255401,0.022159871890202985,0.00923984642597945,6.615831115641154e-05,0.0,0.0,8.924846527776913e-06,0.007177524212636788,0.017769148574460065,0.019397667027047084,0.0027189459613694094,0.0,3.069986578396153e-05,18,1,0,7,582,0.6653914810410739,0.044673539518900345,session_51faeb57d0ec41a18aa81cf2a7174e76,1
