Gaze direction,Timestamp start,Timestamp finish,Violation label,Numerical behavioural score,Video Evidence File
Center,2026-05-02 21:20:37.182,2026-05-02 21:20:57.219,normal,0,
Up,2026-05-02 21:20:57.219,2026-05-02 21:20:57.893,normal,0,
Right,2026-05-02 21:20:57.893,2026-05-02 21:20:57.925,normal,0,
Down,2026-05-02 21:20:57.925,2026-05-02 21:20:58.230,normal,0,
Left,2026-05-02 21:20:58.230,2026-05-02 21:20:58.788,normal,0,
Up,2026-05-02 21:20:58.788,2026-05-02 21:20:59.495,normal,0,
Right,2026-05-02 21:20:59.495,2026-05-02 21:20:59.884,normal,0,
Up,2026-05-02 21:20:59.884,2026-05-02 21:21:00.756,normal,0,
Left,2026-05-02 21:21:00.756,2026-05-02 21:21:00.820,normal,0,
Down,2026-05-02 21:21:00.820,2026-05-02 21:21:00.981,normal,0,
Left,2026-05-02 21:21:00.981,2026-05-02 21:21:02.369,normal,0,
Down,2026-05-02 21:21:02.369,2026-05-02 21:21:02.897,normal,0,
Left,2026-05-02 21:21:02.897,2026-05-02 21:21:03.663,normal,0,
Down,2026-05-02 21:21:03.663,2026-05-02 21:21:04.755,normal,0,
Left,2026-05-02 21:21:04.755,2026-05-02 21:21:04.805,normal,0,
Up,2026-05-02 21:21:04.805,2026-05-02 21:21:05.637,normal,0,
Left,2026-05-02 21:21:05.637,2026-05-02 21:21:05.787,normal,0,
Up,2026-05-02 21:21:05.787,2026-05-02 21:21:06.058,normal,0,
Left,2026-05-02 21:21:06.058,2026-05-02 21:21:06.106,normal,0,
Down,2026-05-02 21:21:06.106,2026-05-02 21:21:06.718,normal,0,
Right,2026-05-02 21:21:06.718,2026-05-02 21:21:06.814,normal,0,
Up,2026-05-02 21:21:06.814,2026-05-02 21:21:07.825,normal,0,
Left,2026-05-02 21:21:07.825,2026-05-02 21:21:08.039,normal,0,
Down,2026-05-02 21:21:08.039,2026-05-02 21:21:08.614,normal,0,
Left,2026-05-02 21:21:08.614,2026-05-02 21:21:08.918,normal,0,
Right,2026-05-02 21:21:08.918,2026-05-02 21:21:08.946,normal,0,
Up,2026-05-02 21:21:08.946,2026-05-02 21:21:09.688,normal,0,
Left,2026-05-02 21:21:09.688,2026-05-02 21:21:10.100,normal,0,
