Gaze direction,Timestamp start,Timestamp finish,Violation label,Numerical behavioural score,Video Evidence File
Center,2026-04-30 21:24:57.386,2026-04-30 21:25:21.188,normal,0,
Down,2026-04-30 21:25:21.188,2026-04-30 21:25:22.098,normal,0,
Center,2026-04-30 21:25:22.098,2026-04-30 21:25:22.467,normal,0,
Up,2026-04-30 21:25:22.467,2026-04-30 21:25:22.610,normal,0,
Center,2026-04-30 21:25:22.610,2026-04-30 21:25:23.996,normal,0,
Left,2026-04-30 21:25:23.996,2026-04-30 21:25:24.034,normal,0,
Up,2026-04-30 21:25:24.034,2026-04-30 21:25:26.370,normal,0,
Center,2026-04-30 21:25:26.370,2026-04-30 21:25:27.403,normal,0,
Down,2026-04-30 21:25:27.403,2026-04-30 21:25:27.660,normal,0,
Right,2026-04-30 21:25:27.660,2026-04-30 21:25:27.707,normal,0,
Center,2026-04-30 21:25:27.707,2026-04-30 21:25:28.006,normal,0,
Up,2026-04-30 21:25:28.006,2026-04-30 21:25:28.588,normal,0,
Center,2026-04-30 21:25:28.588,2026-04-30 21:25:29.106,normal,0,
Up,2026-04-30 21:25:29.106,2026-04-30 21:25:33.297,Up_duration,100,20260430_212532_violation_Up_duration.mp4
Center,2026-04-30 21:25:33.297,2026-04-30 21:25:33.443,normal,0,
Left,2026-04-30 21:25:33.443,2026-04-30 21:25:33.699,normal,0,
Up,2026-04-30 21:25:33.699,2026-04-30 21:25:34.589,normal,0,
Center,2026-04-30 21:25:34.589,2026-04-30 21:25:34.638,normal,0,
Left,2026-04-30 21:25:34.638,2026-04-30 21:25:34.725,normal,0,
Center,2026-04-30 21:25:34.725,2026-04-30 21:25:35.342,normal,0,
Up,2026-04-30 21:25:35.342,2026-04-30 21:25:35.483,normal,0,
Center,2026-04-30 21:25:35.483,2026-04-30 21:25:35.781,normal,0,
Up,2026-04-30 21:25:35.781,2026-04-30 21:25:35.840,normal,0,
Center,2026-04-30 21:25:35.840,2026-04-30 21:25:35.966,normal,0,
Up,2026-04-30 21:25:35.966,2026-04-30 21:25:36.239,normal,0,
Center,2026-04-30 21:25:36.239,2026-04-30 21:25:36.411,normal,0,
Right,2026-04-30 21:25:36.411,2026-04-30 21:25:36.452,normal,0,
Down,2026-04-30 21:25:36.452,2026-04-30 21:25:36.495,normal,0,
Center,2026-04-30 21:25:36.495,2026-04-30 21:25:36.581,normal,0,
Up,2026-04-30 21:25:36.581,2026-04-30 21:25:37.371,frantic eye movement,100,20260430_212536_violation_frantic eye movement.mp4
Center,2026-04-30 21:25:37.371,2026-04-30 21:25:37.412,normal,0,
Down,2026-04-30 21:25:37.412,2026-04-30 21:25:37.839,normal,0,
Center,2026-04-30 21:25:37.839,2026-04-30 21:25:37.998,normal,0,
Left,2026-04-30 21:25:37.998,2026-04-30 21:25:38.191,normal,0,
Up,2026-04-30 21:25:38.191,2026-04-30 21:25:38.603,normal,0,
Center,2026-04-30 21:25:38.603,2026-04-30 21:25:38.678,normal,0,
Up,2026-04-30 21:25:38.678,2026-04-30 21:25:38.789,normal,0,
Center,2026-04-30 21:25:38.789,2026-04-30 21:25:38.826,normal,0,
Up,2026-04-30 21:25:38.826,2026-04-30 21:25:40.385,normal,0,
Down,2026-04-30 21:25:40.385,2026-04-30 21:25:40.947,normal,0,
Right,2026-04-30 21:25:40.947,2026-04-30 21:25:40.992,normal,0,
Up,2026-04-30 21:25:40.992,2026-04-30 21:25:41.312,normal,0,
Down,2026-04-30 21:25:41.312,2026-04-30 21:25:41.385,normal,0,
Up,2026-04-30 21:25:41.385,2026-04-30 21:25:42.374,normal,0,
Left,2026-04-30 21:25:42.374,2026-04-30 21:25:42.414,normal,0,
Center,2026-04-30 21:25:42.414,2026-04-30 21:25:42.453,normal,0,
Left,2026-04-30 21:25:42.453,2026-04-30 21:25:42.510,normal,0,
Center,2026-04-30 21:25:42.510,2026-04-30 21:25:42.898,normal,0,
Left,2026-04-30 21:25:42.898,2026-04-30 21:25:43.093,normal,0,
Down,2026-04-30 21:25:43.093,2026-04-30 21:25:43.134,normal,0,
Center,2026-04-30 21:25:43.134,2026-04-30 21:25:43.171,normal,0,
Left,2026-04-30 21:25:43.171,2026-04-30 21:25:43.349,frantic eye movement,100,20260430_212543_violation_frantic eye movement.mp4
Center,2026-04-30 21:25:43.349,2026-04-30 21:25:43.390,normal,0,
Left,2026-04-30 21:25:43.390,2026-04-30 21:25:43.465,normal,0,
Center,2026-04-30 21:25:43.465,2026-04-30 21:25:43.630,normal,0,
Down,2026-04-30 21:25:43.630,2026-04-30 21:25:43.851,normal,0,
Center,2026-04-30 21:25:43.851,2026-04-30 21:25:44.994,normal,0,
Left,2026-04-30 21:25:44.994,2026-04-30 21:25:45.157,normal,0,
Center,2026-04-30 21:25:45.157,2026-04-30 21:25:45.272,normal,0,
Down,2026-04-30 21:25:45.272,2026-04-30 21:25:45.308,normal,0,
Center,2026-04-30 21:25:45.308,2026-04-30 21:25:45.473,normal,0,
Up,2026-04-30 21:25:45.473,2026-04-30 21:25:45.512,normal,0,
Left,2026-04-30 21:25:45.512,2026-04-30 21:25:45.551,normal,0,
Up,2026-04-30 21:25:45.551,2026-04-30 21:25:45.791,normal,0,
Center,2026-04-30 21:25:45.791,2026-04-30 21:25:45.830,normal,0,
Up,2026-04-30 21:25:45.830,2026-04-30 21:25:46.098,normal,0,
Center,2026-04-30 21:25:46.098,2026-04-30 21:25:47.181,normal,0,
Down,2026-04-30 21:25:47.181,2026-04-30 21:25:47.490,frantic eye movement,100,20260430_212547_violation_frantic eye movement.mp4
Center,2026-04-30 21:25:47.490,2026-04-30 21:25:48.766,normal,0,
Down,2026-04-30 21:25:48.766,2026-04-30 21:25:48.997,normal,0,
