Gaze direction,Timestamp start,Timestamp finish,Violation label,Numerical behavioural score,Video Evidence File
Center,2026-05-04 11:48:43.312,2026-05-04 11:49:03.997,eyes_off_screen,100,20260504_114903_violation_eyes_off_screen.mp4
Center,2026-05-04 11:49:03.997,2026-05-04 11:49:04.021,normal,0,
Up,2026-05-04 11:49:04.021,2026-05-04 11:49:04.599,normal,0,
Right,2026-05-04 11:49:04.599,2026-05-04 11:49:04.787,normal,0,
Up,2026-05-04 11:49:04.787,2026-05-04 11:49:04.881,normal,0,
Right,2026-05-04 11:49:04.881,2026-05-04 11:49:04.950,normal,0,
Down,2026-05-04 11:49:04.950,2026-05-04 11:49:05.438,normal,0,
Right,2026-05-04 11:49:05.438,2026-05-04 11:49:05.878,normal,0,
Down,2026-05-04 11:49:05.878,2026-05-04 11:49:05.970,normal,0,
Right,2026-05-04 11:49:05.970,2026-05-04 11:49:06.874,normal,0,
Left,2026-05-04 11:49:06.874,2026-05-04 11:49:07.337,normal,0,
Up,2026-05-04 11:49:07.337,2026-05-04 11:49:09.001,normal,0,
Left,2026-05-04 11:49:09.001,2026-05-04 11:49:09.048,normal,0,
Down,2026-05-04 11:49:09.048,2026-05-04 11:49:09.854,normal,0,
Left,2026-05-04 11:49:09.854,2026-05-04 11:49:10.045,normal,0,
Down,2026-05-04 11:49:10.045,2026-05-04 11:49:10.881,normal,0,
Right,2026-05-04 11:49:10.881,2026-05-04 11:49:10.951,normal,0,
Down,2026-05-04 11:49:10.951,2026-05-04 11:49:10.999,normal,0,
Right,2026-05-04 11:49:10.999,2026-05-04 11:49:11.281,normal,0,
Up,2026-05-04 11:49:11.281,2026-05-04 11:49:11.352,normal,0,
Right,2026-05-04 11:49:11.352,2026-05-04 11:49:11.470,normal,0,
Up,2026-05-04 11:49:11.470,2026-05-04 11:49:12.356,normal,0,
Left,2026-05-04 11:49:12.356,2026-05-04 11:49:12.403,normal,0,
Up,2026-05-04 11:49:12.403,2026-05-04 11:49:13.118,normal,0,
Left,2026-05-04 11:49:13.118,2026-05-04 11:49:14.604,normal,0,
Down,2026-05-04 11:49:14.604,2026-05-04 11:49:14.903,normal,0,
Left,2026-05-04 11:49:14.903,2026-05-04 11:49:15.112,normal,0,
Up,2026-05-04 11:49:15.112,2026-05-04 11:49:16.099,normal,0,
Left,2026-05-04 11:49:16.099,2026-05-04 11:49:17.972,normal,0,
Down,2026-05-04 11:49:17.972,2026-05-04 11:49:18.429,normal,0,
Left,2026-05-04 11:49:18.429,2026-05-04 11:49:18.522,normal,0,
Up,2026-05-04 11:49:18.522,2026-05-04 11:49:19.194,normal,0,
Left,2026-05-04 11:49:19.194,2026-05-04 11:49:19.217,normal,0,
Down,2026-05-04 11:49:19.217,2026-05-04 11:49:19.749,normal,0,
Left,2026-05-04 11:49:19.749,2026-05-04 11:49:19.887,normal,0,
Up,2026-05-04 11:49:19.887,2026-05-04 11:49:20.563,normal,0,
Left,2026-05-04 11:49:20.563,2026-05-04 11:49:20.610,normal,0,
Down,2026-05-04 11:49:20.610,2026-05-04 11:49:21.104,normal,0,
Right,2026-05-04 11:49:21.104,2026-05-04 11:49:21.197,normal,0,
Up,2026-05-04 11:49:21.197,2026-05-04 11:49:21.887,normal,0,
Right,2026-05-04 11:49:21.887,2026-05-04 11:49:21.934,normal,0,
Down,2026-05-04 11:49:21.934,2026-05-04 11:49:22.693,normal,0,
Left,2026-05-04 11:49:22.693,2026-05-04 11:49:22.878,normal,0,
Up,2026-05-04 11:49:22.878,2026-05-04 11:49:23.313,normal,0,
Left,2026-05-04 11:49:23.313,2026-05-04 11:49:23.336,normal,0,
Down,2026-05-04 11:49:23.336,2026-05-04 11:49:24.049,normal,0,
Left,2026-05-04 11:49:24.049,2026-05-04 11:49:24.097,normal,0,
Up,2026-05-04 11:49:24.097,2026-05-04 11:49:24.400,normal,0,
Left,2026-05-04 11:49:24.400,2026-05-04 11:49:24.424,normal,0,
Down,2026-05-04 11:49:24.424,2026-05-04 11:49:26.327,normal,0,
Up,2026-05-04 11:49:26.327,2026-05-04 11:49:26.879,normal,0,
Down,2026-05-04 11:49:26.879,2026-05-04 11:49:28.163,normal,0,
Left,2026-05-04 11:49:28.163,2026-05-04 11:49:28.255,normal,0,
Up,2026-05-04 11:49:28.255,2026-05-04 11:49:28.893,normal,0,
Right,2026-05-04 11:49:28.893,2026-05-04 11:49:28.962,normal,0,
Up,2026-05-04 11:49:28.962,2026-05-04 11:49:28.985,normal,0,
Right,2026-05-04 11:49:28.985,2026-05-04 11:49:29.054,normal,0,
Up,2026-05-04 11:49:29.054,2026-05-04 11:49:29.537,normal,0,
Right,2026-05-04 11:49:29.537,2026-05-04 11:49:29.699,normal,0,
Down,2026-05-04 11:49:29.699,2026-05-04 11:49:30.620,normal,0,
Left,2026-05-04 11:49:30.620,2026-05-04 11:49:31.390,normal,0,
Up,2026-05-04 11:49:31.390,2026-05-04 11:49:31.851,normal,0,
Left,2026-05-04 11:49:31.851,2026-05-04 11:49:31.875,normal,0,
Down,2026-05-04 11:49:31.875,2026-05-04 11:49:32.638,normal,0,
Left,2026-05-04 11:49:32.638,2026-05-04 11:49:32.888,normal,0,
Right,2026-05-04 11:49:32.888,2026-05-04 11:49:33.093,normal,0,
Up,2026-05-04 11:49:33.093,2026-05-04 11:49:34.186,normal,0,
