Gaze direction,Timestamp start,Timestamp finish,Violation label,Numerical behavioural score,Video Evidence File
Center,2026-05-03 22:07:23.138,2026-05-03 22:07:52.556,normal,0,
Up,2026-05-03 22:07:52.556,2026-05-03 22:07:53.203,normal,0,
Left,2026-05-03 22:07:53.203,2026-05-03 22:07:53.700,normal,0,
Down,2026-05-03 22:07:53.700,2026-05-03 22:07:54.323,normal,0,
Right,2026-05-03 22:07:54.323,2026-05-03 22:07:54.852,normal,0,
Down,2026-05-03 22:07:54.852,2026-05-03 22:07:56.038,normal,0,
Left,2026-05-03 22:07:56.038,2026-05-03 22:07:56.427,normal,0,
Up,2026-05-03 22:07:56.427,2026-05-03 22:07:57.893,normal,0,
Right,2026-05-03 22:07:57.893,2026-05-03 22:07:57.925,normal,0,
Down,2026-05-03 22:07:57.925,2026-05-03 22:07:59.048,normal,0,
Right,2026-05-03 22:07:59.048,2026-05-03 22:07:59.862,normal,0,
Left,2026-05-03 22:07:59.862,2026-05-03 22:07:59.921,normal,0,
Down,2026-05-03 22:07:59.921,2026-05-03 22:08:00.788,normal,0,
Left,2026-05-03 22:08:00.788,2026-05-03 22:08:00.853,normal,0,
Up,2026-05-03 22:08:00.853,2026-05-03 22:08:01.733,normal,0,
Left,2026-05-03 22:08:01.733,2026-05-03 22:08:01.841,normal,0,
Down,2026-05-03 22:08:01.841,2026-05-03 22:08:02.327,normal,0,
Left,2026-05-03 22:08:02.327,2026-05-03 22:08:02.417,normal,0,
Up,2026-05-03 22:08:02.417,2026-05-03 22:08:03.253,normal,0,
Down,2026-05-03 22:08:03.253,2026-05-03 22:08:03.924,normal,0,
Right,2026-05-03 22:08:03.924,2026-05-03 22:08:04.031,normal,0,
Up,2026-05-03 22:08:04.031,2026-05-03 22:08:04.565,normal,0,
Right,2026-05-03 22:08:04.565,2026-05-03 22:08:04.868,normal,0,
Down,2026-05-03 22:08:04.868,2026-05-03 22:08:05.731,normal,0,
Left,2026-05-03 22:08:05.731,2026-05-03 22:08:05.863,normal,0,
Down,2026-05-03 22:08:05.863,2026-05-03 22:08:05.892,normal,0,
Left,2026-05-03 22:08:05.892,2026-05-03 22:08:06.052,normal,0,
Up,2026-05-03 22:08:06.052,2026-05-03 22:08:06.566,normal,0,
Right,2026-05-03 22:08:06.566,2026-05-03 22:08:07.139,normal,0,
Up,2026-05-03 22:08:07.139,2026-05-03 22:08:08.456,normal,0,
Left,2026-05-03 22:08:08.456,2026-05-03 22:08:09.029,normal,0,
Up,2026-05-03 22:08:09.029,2026-05-03 22:08:09.668,normal,0,
Left,2026-05-03 22:08:09.668,2026-05-03 22:08:09.702,normal,0,
Down,2026-05-03 22:08:09.702,2026-05-03 22:08:09.875,normal,0,
Left,2026-05-03 22:08:09.875,2026-05-03 22:08:10.502,normal,0,
Down,2026-05-03 22:08:10.502,2026-05-03 22:08:11.589,normal,0,
Right,2026-05-03 22:08:11.589,2026-05-03 22:08:11.763,normal,0,
Up,2026-05-03 22:08:11.763,2026-05-03 22:08:13.439,normal,0,
Left,2026-05-03 22:08:13.439,2026-05-03 22:08:13.530,normal,0,
Down,2026-05-03 22:08:13.530,2026-05-03 22:08:14.454,normal,0,
Right,2026-05-03 22:08:14.454,2026-05-03 22:08:14.662,normal,0,
Up,2026-05-03 22:08:14.662,2026-05-03 22:08:15.172,normal,0,
Left,2026-05-03 22:08:15.172,2026-05-03 22:08:15.301,normal,0,
Up,2026-05-03 22:08:15.301,2026-05-03 22:08:15.597,normal,0,
Left,2026-05-03 22:08:15.597,2026-05-03 22:08:15.702,normal,0,
Up,2026-05-03 22:08:15.702,2026-05-03 22:08:16.548,normal,0,
